"0","2326831138","Thu Jun 25 07:34:08 PDT 2009","NO_QUERY","KinaGrace","i am not-so-happy "
"4","1981532394","Sun May 31 09:21:10 PDT 2009","NO_QUERY","shimmyshimmy__","God it's warm today work is going to be unbearable...need some diet coke methinks! "
"0","2201447205","Tue Jun 16 20:17:14 PDT 2009","NO_QUERY","RobertZepeda","@followspice yeah. My friend can't go anymore cause of work so we had to cancel. "
"0","2057011903","Sat Jun 06 12:12:25 PDT 2009","NO_QUERY","SineaadMc","Feeling reallyy reallyy sick "
"4","2003316573","Tue Jun 02 06:18:34 PDT 2009","NO_QUERY","rjross","@iceflatline but what does it smell like "
"4","1986837565","Sun May 31 19:23:13 PDT 2009","NO_QUERY","Ryansito24","Thanks @kathleenwithak for saving my blackberry "
"4","1695026956","Mon May 04 04:58:13 PDT 2009","NO_QUERY","A5J4DX","@greggrunberg http://twitpic.com/4jdtj - have a safe journey back home hope you come back soon "
"4","2000488614","Mon Jun 01 22:13:46 PDT 2009","NO_QUERY","___DollFace","im hungry &gt;.&lt; (anyone that makes some aneroxic joke over that will get personally punched it the face by me) "
"4","1973742807","Sat May 30 11:44:48 PDT 2009","NO_QUERY","taylorxjane","On my way to see my mom probably gonna stay there for a few hours. Me and her are gonna watch some cable to tv  Text me.  taylor jane."
"0","2050803712","Fri Jun 05 19:19:18 PDT 2009","NO_QUERY","julesinbris","@mabelmoments Yeah, Oz is pretty good. Scotland no go unless in the cities, and the towns we lived in in England - forget it "
"4","2030741080","Thu Jun 04 08:48:53 PDT 2009","NO_QUERY","KasiaKolo","@LorraineStanick Have a blog sale for sure!! I would love to have some of your makeup!!! "
"0","1986069648","Sun May 31 18:16:26 PDT 2009","NO_QUERY","ericalevercom","wants to go to Minnesota to see my family, but plane tickets don't exactly fit into my budget at the moment. "
"0","1563680676","Sun Apr 19 23:48:05 PDT 2009","NO_QUERY","shennyunho","'s right leg is swollen.. sighs!!! hope the medicine can cure so i dn need to go hospital tmw  PORK LEG!! :S"
"4","1998922883","Mon Jun 01 19:20:48 PDT 2009","NO_QUERY","TylerFish","Cool. I'm going to do my first installing part. "
"4","2191787242","Tue Jun 16 05:58:16 PDT 2009","NO_QUERY","movistar26","super tired, but hey, at least it's Tuesday "
"0","1676280280","Fri May 01 21:35:10 PDT 2009","NO_QUERY","Marigb19","at party right nowww.... is not really cool im bored but i have to stay here 2am!!!  "
